ParticleID,X,Y,ConfidenceRadius
3.0,475295.09007537505,539904.6902643364,0.09327413765490479
30.0,475293.92120777094,539904.7212494715,0.030789336117409912
67.0,475294.35828684556,539904.8084163247,0.10859337609509721
7.0,475292.6893561334,539902.6037689735,0.22604781530409032
42.0,475291.77123905247,539901.1695116278,0.006677910551923893
44.0,475292.48644790036,539901.0947498312,0.010983585148030215
5.0,475294.83638407517,539904.2514560112,0.10829330596998202
24.0,475292.2472546401,539902.8019927262,0.1190444301844975
99.0,475291.08116621355,539900.6134105182,0.07636013151038555
13.0,475292.6546524009,539902.4614613946,0.14091055852010936
112.0,475288.8934496091,539900.4339809393,0.023286324169349816
80.0,475291.6342597057,539901.361648777,0.10976093264328107
134.0,475288.7110643688,539900.0552781401,0.10564254791279917
6.0,475291.34520900546,539901.1784225713,0.009924297112755106
92.0,475290.55390615104,539900.8339720931,0.25152560197792573
96.0,475290.9536753753,539900.9763458853,0.00015948826168059684
12.0,475290.87188548315,539900.4776308247,0.08167780172732751
125.0,475291.5034313999,539901.2386272236,0.045620073781848604
68.0,475289.9063822646,539900.2658380301,0.21484099491921782
77.0,475291.78157607163,539901.6329615121,0.033367647460262884
76.0,475290.72374792973,539901.0272843577,0.08654702718659753
69.0,475290.6846879087,539900.5249017879,0.16831967966708963
107.0,475290.55571308424,539900.8209823885,0.09545512413526774
132.0,475290.8389499366,539901.370143865,0.0966438357046375
85.0,475289.97582898266,539900.7759759106,0.11074769548221422
165.0,475293.38820390514,539902.8531590672,0.043199190386536725
166.0,475293.6132178635,539902.9201695188,0.03913953640347956
10.0,475293.6533781518,539904.4359983128,0.005351530343050677
150.0,475293.87834333227,539904.1212423829,0.03441395941147257
156.0,475292.8778884783,539903.3054936464,0.2513595449165393
157.0,475294.1204755658,539903.1012950266,0.04761900992254882
22.0,475233.43019082816,539955.8170560779,0.23492971460450277
90.0,475232.6462987859,539954.7248788743,0.1038948989450112
19.0,475231.30943771574,539953.3300822474,0.5969967831877001
106.0,475232.1748911678,539953.5306986118,0.3252164375825618
49.0,475230.9991870234,539953.238720277,0.4943115685076571
128.0,475232.19950896734,539954.7588304305,0.23156398892094926
47.0,475233.1505490113,539954.5975239099,0.10595614175790648
123.0,475233.0650593578,539954.5613264117,0.027277516935269384
124.0,475232.1888944367,539954.7810476936,0.10627763951667622
81.0,475232.69478643057,539954.9697693154,0.12900110955165228
11.0,475231.050947428,539953.2966207307,0.43539254354408763
97.0,475231.22545473604,539953.3679811769,0.5911141736803385
37.0,475231.17057266645,539953.3183619174,0.513214655604196
108.0,475231.92650058836,539953.0410669507,0.5480981824724492
35.0,475232.1205360721,539953.5719330459,0.34428823793333213
91.0,475230.8792711114,539953.1209758006,0.4731588081774516
121.0,475231.1658328313,539953.7870973652,0.47578641125006327
1051.0,475231.94625242683,539952.9751842382,0.5033675353859539
75.0,475230.9548068742,539953.3230718458,0.48259212891577
1047.0,475231.31814570073,539953.7390878131,0.45552400085647127
40.0,475230.9794613051,539953.4977204101,0.6569586141032908
118.0,475230.6651818163,539952.8981650528,0.5305828560895681
23.0,475233.4972576603,539955.6758951329,0.10866508431059585
110.0,475232.06599220895,539954.3428174191,0.2776991759975849
61.0,475232.3451112353,539953.3837032203,0.30759651606367205
52.0,475231.9888646657,539953.460268902,0.5034113416595886
1053.0,475231.9793255439,539953.7017998967,0.4516658718889232
139.0,475232.89989352616,539954.6697486336,0.0052633267654367604
146.0,475232.65155667317,539955.3213164919,0.24459748178844967
149.0,475232.67495139275,539954.7851024718,0.05605949232764588
158.0,475232.55798903573,539954.7264151938,0.10121807850305772
164.0,475232.72708520177,539955.395464013,0.21369847592796168
154.0,475232.9079227328,539955.0483638545,0.04062541996226643
169.0,475233.06743999076,539955.3770936874,0.1401902322411791
8.0,475234.98473658756,539957.9008613083,0.07896526354470582
2.0,475234.80569203384,539957.7402440142,0.16195983331912095
15.0,475234.19406066154,539957.4971780456,0.14131160201121126
94.0,475234.2422815635,539957.6976731074,0.1556835462328376
95.0,475234.517151736,539958.1120142614,0.09192663775686621
66.0,475230.9863000388,539952.7993686183,0.7890690382740808
1031.0,475234.2521372235,539957.6127881586,0.15870547360759985
140.0,475234.7408387193,539958.1370123235,0.08553775961196404
143.0,475234.7788046754,539958.1267071216,0.06167096456717545
145.0,475235.0979933862,539958.904025843,0.11647720433625575
147.0,475235.76790530165,539960.3743875771,0.15488755520138697
160.0,475235.2568905912,539958.6508509272,0.07577200092664234
162.0,475235.48055875086,539959.4805987603,0.17862464337824005
18.0,475235.7343388689,539960.125282792,0.0645497741255454
170.0,475235.08493880695,539958.9061991385,0.11010454830374665
155.0,475235.00267688924,539958.9044174766,0.16599588481110328
152.0,475235.9175569038,539959.687959582,0.02002833573924481
168.0,475236.0771938173,539960.4536276172,0.07970118385778574
1.0,475235.8127203596,539968.2369956303,2.786136538403053
41.0,475238.0392066979,539966.3409082526,2.5993163379171866
17.0,475236.82521191245,539970.8041460044,2.81938330671066
29.0,475235.723926712,539967.9771050839,2.5255374846451715
119.0,475235.6228206572,539967.7816165338,2.063202712045306
45.0,475231.0594782357,539953.5395792063,0.4378509114780928
9.0,475235.91181182425,539970.5011837723,2.0288056846149756
111.0,475235.71127712255,539967.1362368693,0.8493146239953815
89.0,475235.8571647226,539971.0767054207,1.615279065082936
135.0,475237.21836850373,539965.918158787,1.83321652063548
137.0,475235.76324922097,539970.3450504249,1.8772452358554712
141.0,475235.4341584181,539967.3718536826,1.351472030374852
148.0,475238.142845684,539966.2938361653,2.6066887563142513
159.0,475235.2854320416,539967.8578635594,0.8599037646831896
161.0,475236.8736178605,539965.6189426504,1.4471723374880139
163.0,475236.0619732195,539970.4713316638,2.2306201149327154
101.0,475237.8773882278,539966.1820818669,2.4569267861731747
151.0,475235.2654478101,539968.0633099139,0.8539328680126423
153.0,475238.00359405874,539965.7732527436,1.9833926704700824
167.0,475238.00650718674,539965.3127249061,1.6260757529080863
98.0,475237.95317431865,539965.4374142567,1.48679150517931
100.0,475236.4929908601,539970.899594685,2.3967783922329873
133.0,475236.2462979979,539970.485942121,2.492889454436887
65.0,475238.2431691944,539965.9144568767,2.210037405039874
1045.0,475235.50681564864,539968.115035382,2.1503922208517223
1063.0,475235.736207009,539970.6630408634,1.7244427763541228
1041.0,475235.527178502,539967.8255837852,1.9355114196054517
