ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,12,10,1.18,1.2,2.52
30,13,12,10,1.77,1.14,1.73
87,13,12,10,1.43,0.63,1.23
113,10,7,6,-,-,-
42,10,7,6,-,-,-
4,10,7,6,-,-,-
105,10,7,6,1.92,1.65,2.3
25,10,7,6,1.25,0.9,1.08
99,10,7,6,1.67,2.51,2.97
33,10,7,6,1.15,1.48,1.84
117,10,7,6,-,-,-
26,10,7,6,1.53,1.56,2.1
54,10,7,6,1.31,1.97,2.15
55,10,7,6,0.58,1.72,1.83
71,10,7,6,-,-,-
51,10,7,6,-,-,-
80,10,7,6,1.07,1.74,2.13
63,10,7,6,1,1.28,1.48
1050,10,7,6,-,-,-
1026,10,7,6,1.65,1.34,1.93
1055,10,7,6,1.91,0.56,1.26
1037,10,7,6,-,-,-
7,10,7,6,1.03,1.17,1.25
44,10,7,6,1.11,1.17,1.41
13,10,7,6,0.57,1.73,1.73
16,10,7,6,0.94,1.18,1.31
112,10,7,6,1.47,0.77,0.88
32,10,7,6,2.19,0.4,0.56
59,10,7,6,-,-,-
57,10,7,6,1.87,0.53,1.15
104,10,7,6,0.75,1.6,1.84
127,10,7,6,0.93,1.31,1.46
134,10,7,6,1.48,0.81,1.17
79,10,7,6,2.09,0.43,0.46
1017,10,7,6,1.44,0.82,0.96
1036,10,7,6,1.87,0.45,0.98
1044,10,7,6,1.25,1.03,1.07
1065,10,7,6,1.34,0.93,1.16
22,15,16,17,-,-,-
114,15,16,17,2.75,0.56,1.39
90,15,16,17,3.03,1.09,0.87
19,15,16,17,3.62,1.53,0.97
106,15,16,17,3.37,1.25,1.09
49,15,16,17,3.07,1,1
128,15,16,17,2.84,0.38,1.68
47,15,16,17,3.07,1.46,0.6
39,15,16,17,3.38,1.33,1.02
120,15,16,17,2.28,0.83,1.48
60,15,16,17,2.52,0.79,1.19
130,15,16,17,3.3,1.28,0.87
123,15,16,17,-,-,-
124,15,16,17,-,-,-
81,15,16,17,3.35,1.15,1.12
1006,15,16,17,-,-,-
1011,15,16,17,-,-,-
1048,15,16,17,3.18,1.34,0.69
1062,15,16,17,2.71,0.33,1.67
8,21,20,22,1.53,0.45,1.85
2,21,20,22,1.49,0.75,1.35
43,21,20,22,1.74,0.79,1.32
15,21,20,22,1.31,0.83,2.09
94,21,20,22,1.33,0.82,2.18
95,21,20,22,1.61,0.59,2.26
109,21,20,22,1.57,0.66,1.39
66,21,20,22,1.91,1.55,3.1
73,21,20,22,1.52,0.42,1.73
129,21,20,22,1.5,0.97,2.43
70,21,20,22,1.62,0.54,1.43
58,21,20,22,1.32,0.98,2.28
136,21,20,22,1.59,0.66,2.28
1039,21,20,22,1.36,0.65,1.74
1005,21,20,22,-,-,-
1031,21,20,22,-,-,-
1010,21,20,22,-,-,-
1,31,29,28,1.57,2,0.91
41,31,29,28,1.9,1.66,0.93
17,31,29,28,1.48,1.79,1.12
29,31,29,28,1.94,1.93,0.7
14,31,29,28,-,-,-
119,31,29,28,2.05,2.03,0.55
45,31,29,28,1.89,1.53,1.08
20,31,29,28,2.1,1.9,0.65
34,31,29,28,1.8,2.26,0.54
64,31,29,28,2.04,1.91,0.66
56,31,29,28,1.78,2.08,0.57
78,31,29,28,1.28,2.03,1.11
1002,31,29,28,2.2,1.42,1.09
1014,31,29,28,-,-,-
1043,31,29,28,-,-,-
1058,31,29,28,1.9,1.86,0.78
