ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
1,31,30,28,1.58,1.09,1.02
2,22,21,20,1.25,1.48,1
3,13,10,12,1.28,2.61,1.21
4,13,10,12,1.08,2.09,0.77
7,13,10,12,2.36,1.03,1.94
8,22,21,20,1.88,1.49,0.54
13,13,10,12,2.09,0.6,1.55
14,31,30,28,,,
15,22,21,20,1.96,1.19,0.85
16,13,10,12,2.28,0.98,1.8
17,31,30,28,1.5,1.23,1.2
19,17,16,15,0.99,1.7,3.62
20,31,30,28,2.2,1.61,0.64
22,17,16,15,1.45,2.3,4.37
25,13,10,12,1.62,2.33,1.29
26,13,10,12,1.4,1.49,1.58
29,31,30,28,2.01,1.42,0.74
30,13,10,12,1.79,1.8,1.13
32,13,10,12,2.66,1.77,2.33
33,13,10,12,1.67,1.21,1.37
34,31,30,28,1.9,1.15,0.6
39,17,16,15,1.03,1.37,3.48
41,31,30,28,1.89,1.53,1.06
42,13,10,12,,,
43,22,21,20,1.4,1.83,0.8
44,13,10,12,2.11,1.11,1.68
45,31,30,28,1.88,1.61,1.16
47,17,16,15,0.59,1.53,3.29
49,17,16,15,1.04,1.15,3.17
51,13,10,12,,,
54,13,10,12,,,
55,13,10,12,2.06,0.67,1.43
56,31,30,28,1.93,1.16,0.61
57,13,10,12,2.47,1.75,2.17
58,22,21,20,1.62,1.09,1.01
59,13,10,12,2.28,0.6,1.69
60,17,16,15,1.26,0.89,2.48
63,13,10,12,1.75,1.03,1.3
64,31,30,28,2.09,1.54,0.65
66,22,21,20,2.95,1.7,1.48
70,22,21,20,1.48,1.37,0.82
71,13,10,12,,,
73,22,21,20,,,
78,31,30,28,,,
79,13,10,12,2.61,1.52,2.2
80,13,10,12,,,
81,17,16,15,0.88,1.3,3.42
87,13,10,12,1.44,1.3,0.66
90,17,16,15,1,1.07,3.01
94,22,21,20,2.1,1.34,0.73
95,22,21,20,2.34,1.62,0.67
99,10,13,12,2.27,0.67,0.74
104,13,10,12,1.84,0.85,1.34
105,13,10,12,1.38,2.09,0.77
106,17,16,15,1.11,1.32,3.4
109,22,21,20,1.44,1.64,0.75
112,13,10,12,2.64,1.53,2.27
113,13,10,12,,,
114,17,16,15,1.57,0.58,3.06
117,13,10,12,1.52,2.84,1.53
119,31,30,28,2.13,1.5,0.61
120,17,16,15,1.26,0.89,2.48
123,17,16,15,1.5,2.16,4.37
124,17,16,15,1.61,0.62,3.14
127,13,10,12,2.18,0.92,1.72
128,17,16,15,1.49,0.37,2.84
129,22,21,20,2.34,1.32,1.03
130,17,16,15,0.9,1.33,3.39
134,13,10,12,2.25,1.35,1.86
136,22,21,20,2.28,1.56,0.74
1002,31,30,28,,,
1005,22,21,20,,,
1006,17,16,15,,,
1010,22,21,20,,,
1011,17,16,15,,,
1014,31,30,28,,,
1017,13,10,12,2.42,1.25,2.05
1026,13,10,12,1.6,1.65,1.53
1031,22,21,20,1.74,1.38,0.64
1036,13,10,12,2.45,1.66,2.2
1037,13,10,12,,,
1039,22,21,20,2.35,1.31,1.1
1043,31,30,28,,,
1044,13,10,12,2.27,1.23,1.85
1048,17,16,15,0.73,1.42,3.26
1050,13,10,12,,,
1055,13,10,12,1.88,1.69,1.73
1058,31,30,28,1.97,1.45,0.85
1062,17,16,15,1.66,0.33,2.76
1065,13,10,12,2.37,1.3,1.99
