ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,11,10,1.07,1.62,2.41
4,13,11,10,,,
105,13,11,10,,,
25,13,11,10,,,
30,13,11,10,1.55,1.16,1.37
88,13,11,10,,,
67,13,11,10,1.33,1.34,1.76
7,8,7,6,1.47,0.88,1.06
113,8,7,6,,,
42,8,7,6,1.22,1.16,0.82
44,8,7,6,0.52,0.7,1.02
5,13,11,10,0.63,1.15,2.06
24,8,7,6,1.8,1.18,0.84
99,8,7,6,2.01,2.03,1.64
13,8,7,6,1.33,0.74,0.91
16,8,7,6,,,
112,8,7,6,4.17,4.1,3.44
54,8,7,6,,,
38,8,7,6,,,
33,8,7,6,,,
117,8,7,6,,,
26,8,7,6,,,
55,8,7,6,,,
32,8,7,6,,,
59,8,7,6,,,
57,8,7,6,,,
104,8,7,6,,,
87,8,7,6,,,
72,8,7,6,,,
82,8,7,6,,,
71,8,7,6,,,
51,8,7,6,,,
80,8,7,6,1.4,1.19,0.74
63,8,7,6,,,
1050,8,7,6,,,
1026,8,7,6,,,
1055,8,7,6,,,
1037,8,7,6,,,
127,8,7,6,,,
134,8,7,6,4.42,4.41,3.77
79,8,7,6,,,
1017,8,7,6,,,
1036,8,7,6,,,
1044,8,7,6,,,
1065,8,7,6,,,
6,8,7,6,1.65,1.54,1.01
92,8,7,6,2.51,2.39,1.87
96,8,7,6,2.05,1.98,1.42
12,8,7,6,2.25,2.28,1.87
125,8,7,6,1.48,1.38,0.85
68,8,7,6,3.25,3.22,2.71
86,8,7,6,,,
126,8,7,6,,,
77,8,7,6,1.3,1,0.4
76,8,7,6,2.29,2.17,1.58
69,8,7,6,2.43,2.41,1.97
74,8,7,6,,,
1028,8,7,6,,,
36,8,7,6,,,
107,8,7,6,2.48,2.4,1.84
132,8,7,6,2.18,1.97,1.3
62,8,7,6,,,
85,8,7,6,3.06,2.96,2.34
1049,13,11,10,,,
1052,13,11,10,,,
165,13,11,10,1.78,0.9,1.28
166,13,11,10,1.55,0.72,1.35
138,13,11,10,,,
10,13,11,10,1.59,0.91,1.01
150,13,11,10,1.23,0.57,1.11
156,13,11,10,2.18,1.08,0.78
157,13,11,10,0.98,0.52,1.58
22,17,15,16,1.45,4.35,1.95
114,17,15,16,,,
90,17,15,16,1.1,2.93,0.95
19,17,15,16,2.28,1.61,1.7
106,17,15,16,1.8,1.82,1.45
49,17,15,16,2.67,1.62,1.87
128,17,15,16,1.57,2.76,0.56
47,17,15,16,0.55,3.15,1.42
39,17,15,16,,,
120,17,15,16,,,
60,17,15,16,,,
130,17,15,16,,,
123,17,15,16,0.63,3.01,1.36
124,17,15,16,1.55,2.84,0.5
81,17,15,16,1.1,3.29,0.96
1006,17,15,16,,,
1011,17,15,16,,,
1048,17,15,16,,,
1062,17,15,16,,,
11,17,15,16,2.61,1.62,1.77
97,17,15,16,2.35,1.69,1.71
37,17,15,16,2.45,1.63,1.74
108,17,15,16,2.35,1.38,1.93
35,17,15,16,1.85,1.85,1.4
91,17,15,16,2.85,1.56,2.01
121,17,15,16,2.33,2.08,1.33
46,17,15,16,,,
1051,17,15,16,2.34,1.3,1.98
1042,17,15,16,,,
131,17,15,16,,,
75,17,15,16,2.69,1.71,1.81
1047,17,15,16,2.19,1.95,1.26
40,17,15,16,2.56,1.96,1.75
118,17,15,16,3.15,1.54,2.32
23,17,15,16,1.34,4.23,1.97
110,17,15,16,1.71,2.58,0.68
48,17,15,16,,,
61,17,15,16,1.68,1.73,1.64
52,17,15,16,2.09,1.76,1.52
1061,17,15,16,,,
1040,17,15,16,,,
1053,17,15,16,1.99,1.96,1.26
139,17,15,16,0.82,3.04,1.18
142,17,15,16,,,
146,17,15,16,1.3,3.62,1.03
149,17,15,16,1.09,3.02,0.97
158,17,15,16,1.18,2.9,0.86
164,17,15,16,1.32,3.7,1.14
154,17,15,16,1.02,3.4,1.21
169,17,15,16,1.15,3.79,1.44
8,22,21,20,3.25,1.8,1.83
2,22,21,20,3.47,2.06,2.01
43,22,21,20,,,
15,22,21,20,4.03,2.7,2.32
94,22,21,20,3.84,2.57,2.12
95,22,21,20,3.35,2.14,1.64
109,22,21,20,,,
66,17,15,16,2.82,1.42,2.41
73,22,21,20,,,
129,22,21,20,,,
70,22,21,20,,,
58,22,21,20,,,
136,22,21,20,,,
1039,22,21,20,,,
1005,22,21,20,,,
1031,22,21,20,3.9,2.6,2.2
1010,22,21,20,,,
140,22,21,20,3.19,1.92,1.59
143,22,21,20,3.18,1.88,1.59
145,22,21,20,2.34,1.46,0.9
147,22,21,20,0.95,1.79,1.15
160,22,21,20,2.46,1.29,1.17
162,22,21,20,1.79,1.25,0.74
18,22,21,20,1.11,1.54,1.02
170,22,21,20,2.35,1.47,0.89
155,22,21,20,2.39,1.58,0.9
152,22,21,20,1.27,1.05,1.11
168,22,21,20,0.64,1.72,1.46
1,31,29,28,4.44,4.59,3.52
41,31,29,28,4.56,4.24,3.69
17,31,29,28,4.25,4.46,3.8
29,31,29,28,4.66,4.58,3.44
14,31,29,28,,,
119,31,29,28,4.82,4.61,3.25
45,17,15,16,2.52,1.85,1.56
20,31,29,28,,,
34,31,29,28,,,
64,31,29,28,,,
56,31,29,28,,,
78,31,29,28,,,
1002,31,29,28,,,
1014,31,29,28,,,
1043,31,29,28,,,
1058,31,29,28,,,
9,31,29,28,4.46,5.04,3.33
111,31,29,28,5.19,4.6,2.9
89,31,29,28,4.3,5.35,3.58
63,31,29,28,,,
102,31,29,28,,,
116,31,29,28,,,
122,31,29,28,,,
135,31,29,28,5.26,4.53,3.49
137,31,29,28,4.52,5.11,3.23
141,31,29,28,5.22,4.81,3.18
144,31,29,28,,,
148,31,29,28,4.57,4.2,3.76
159,31,29,28,5.01,4.98,2.99
161,31,29,28,5.69,4.76,3.65
163,31,29,28,4.45,4.9,3.35
101,31,29,28,4.76,4.31,3.67
151,31,29,28,4.9,5.01,2.95
153,31,29,28,5.07,4.15,3.75
167,31,29,28,5.51,4.24,3.98
98,31,29,28,5.4,4.13,3.8
100,31,29,28,4.2,4.74,3.63
133,31,29,28,4.46,4.76,3.45
65,31,29,28,4.87,4.06,3.82
1045,31,29,28,4.68,4.79,3.34
1057,31,29,28,,,
1063,31,29,28,4.45,5.26,3.39
1041,31,29,28,4.85,4.71,3.25
