ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,8,10,6,2.24,1.16,2.54
113,8,10,6,2.31,0.55,2.1
42,8,10,6,,,
4,8,10,6,,,
105,8,10,6,,,
25,8,10,6,2.28,0.88,2.05
30,8,10,6,1.76,1.14,1.73
99,8,10,6,2.59,0.69,2.19
33,8,10,6,1.93,1.12,1.84
117,8,10,6,2.33,0.49,1.92
26,8,10,6,1.89,1.55,2.09
54,8,10,6,2.3,0.97,2.18
55,8,10,6,,,
71,8,10,6,,,
51,8,10,6,,,
80,8,10,6,,,
63,8,10,6,2,0.86,1.71
87,8,10,6,,,
1050,8,10,6,,,
1026,8,10,6,,,
1055,8,10,6,1.23,1.71,1.35
1037,8,10,6,,,
7,8,10,6,1.76,1.11,1.24
44,8,10,6,1.72,1.14,1.42
13,8,10,6,2.24,0.59,1.76
16,8,10,6,1.85,0.96,1.38
112,8,10,6,1.41,1.5,0.87
32,8,7,6,0.88,0.35,0.49
59,8,10,6,,,
57,8,10,6,0.9,1.74,1.06
104,8,10,6,2.15,0.78,1.86
127,8,10,6,1.85,0.95,1.45
134,8,10,6,1.44,1.41,1.19
79,8,10,6,1.3,1.55,0.85
1017,8,10,6,1.46,1.37,1
1036,8,10,6,1.21,1.64,1.09
1044,8,10,6,1.6,1.24,1.28
1065,8,10,6,1.5,1.32,1.14
22,17,15,16,,,
114,17,15,16,1.45,2.78,0.58
90,17,15,16,0.95,3.02,1.09
19,17,15,16,0.94,3.61,1.62
106,17,15,16,1.12,3.43,1.07
49,17,15,16,1.09,3.09,1.03
128,17,15,16,1.64,2.82,0.41
47,17,15,16,,,
39,17,15,16,1.05,3.4,1.3
120,17,15,16,1.21,2.59,0.81
60,17,15,16,1.21,2.59,0.81
130,17,15,16,0.94,3.29,1.28
123,17,15,16,1.48,4.27,2.21
124,17,15,16,,,
81,17,15,16,1.12,3.41,1.19
1006,17,15,16,1.08,3.39,1.2
1011,17,15,16,,,
1048,17,15,16,0.75,3.18,1.34
1062,17,15,16,1.66,1.74,1.34
8,21,20,22,1.55,0.38,1.78
2,21,20,22,1.51,0.72,1.4
43,21,20,22,,,
15,21,20,22,1.29,0.61,1.86
94,21,20,22,1.32,0.65,1.99
95,21,20,22,1.56,0.62,2.28
109,21,20,22,1.61,0.7,1.42
66,21,20,22,,,
73,21,20,22,,,
129,21,20,22,1.31,0.92,2.34
70,21,20,22,1.64,0.73,1.4
58,21,20,22,1.16,0.71,1.75
136,21,20,22,1.51,0.64,2.26
1039,21,20,22,1.32,0.78,1.42
1005,21,20,22,,,
1031,21,20,22,1.32,0.78,1.42
1010,21,20,22,,,
1,31,29,28,1.55,2.02,0.97
41,31,29,28,1.83,1.72,0.99
17,31,29,28,1.52,1.82,1.14
29,31,29,28,1.91,1.92,0.73
14,31,29,28,,,
119,31,29,28,2.05,1.95,0.6
45,31,29,28,1.81,1.53,1.12
20,31,29,28,2.1,1.87,0.67
34,31,29,28,1.84,2.24,0.64
64,31,29,28,2,1.91,0.66
56,31,29,28,1.83,2.18,0.62
78,31,29,28,1.28,1.94,1.13
1002,31,29,28,,,
1014,31,29,28,,,
1043,31,29,28,,,
1058,31,29,28,,,
