ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,11,12,13,1.78,1.15,1.2
113,11,12,13,1.14,0.63,0.44
42,11,12,13,1.17,0.76,1.52
4,11,12,13,1.35,0.69,1.12
105,11,12,13,0.97,1.4,1.36
25,11,12,13,1.87,1.24,1.62
30,11,12,13,1.68,1.24,1.88
99,11,12,13,1.28,0.7,0.72
33,11,12,13,,,
117,11,12,13,1.22,0.65,0.61
26,11,12,13,0.73,1.2,1.45
54,11,12,13,,,
55,11,12,13,0.81,1.45,1.91
71,11,12,13,2.13,1.5,1.53
51,11,12,13,0.72,0.61,0.44
80,11,12,13,0.41,0.85,1.07
63,11,12,13,0.69,1.28,1.73
87,11,12,13,0.99,0.65,1.44
1050,11,12,13,,,
1026,11,12,13,,,
1055,11,12,13,1.08,1.65,1.84
1037,11,12,13,,,
7,11,10,7,1.36,1.14,1.15
44,11,10,7,1.12,1.2,1.17
13,11,10,7,0.97,0.82,1.62
16,11,10,7,1.19,1.04,1.29
112,11,10,7,1.66,1.51,0.8
32,11,10,7,1.75,1.76,0.54
59,11,10,7,1.16,0.8,1.56
57,11,10,7,1.33,1.46,0.88
104,11,10,7,0.83,1.01,1.5
127,11,10,7,1.11,1.04,1.29
134,11,10,7,1.29,1.38,0.95
79,11,10,7,1.64,1.55,0.75
1017,11,10,7,1.38,1.24,1.06
1036,11,10,7,1.34,1.29,1.01
1044,11,10,7,1.19,1.3,1.06
1065,11,10,7,1.39,1.37,0.92
22,17,16,15,1.49,2.4,1.48
114,17,16,15,1.54,0.67,3.14
90,17,16,15,0.99,1.12,3.03
19,17,16,15,0.91,1.73,2.58
106,17,16,15,1.15,1.3,3.43
49,17,16,15,1.07,1.23,3.17
128,17,16,15,1.4,0.88,3.25
47,17,16,15,,,
39,17,16,15,1.04,1.36,3.43
120,17,16,15,1.16,0.83,2.5
60,17,16,15,,,
130,17,16,15,0.91,1.29,3.23
123,17,16,15,1.43,2.14,4.4
124,17,16,15,,,
81,17,16,15,1.15,1.28,3.44
1006,17,16,15,,,
1011,17,16,15,,,
1048,17,16,15,0.81,1.38,3.25
1062,17,16,15,1.68,0.34,2.81
8,22,20,21,1.84,0.35,1.53
2,22,20,21,1.15,1.08,1.36
43,22,20,21,1.34,0.76,1.69
15,22,20,21,1.77,0.61,1.32
94,22,20,21,1.92,0.69,1.27
95,22,20,21,2.26,0.59,1.58
109,22,20,21,1.4,0.65,1.56
66,22,20,21,1.22,0.98,1.23
73,22,20,21,1.28,0.95,1.2
129,22,20,21,1.82,0.75,1.18
70,22,20,21,1.26,0.89,1.43
58,22,20,21,1.67,0.85,1.07
136,22,20,21,2.23,0.61,1.55
1039,22,20,21,,,
1005,22,20,21,,,
1031,22,20,21,,,
1010,22,20,21,,,
1,31,30,28,1.5,0.95,0.96
41,31,30,28,1.89,1.54,1
17,31,30,28,1.49,1.14,1.14
29,31,30,28,1.98,1.43,0.75
14,31,30,28,,,
119,31,30,28,2.11,1.51,0.58
45,31,30,28,1.31,1.05,1.27
20,31,30,28,2.13,1.05,0.81
34,31,30,28,1.87,1.14,0.61
64,31,30,28,2.1,1.56,0.73
56,31,30,28,1.9,1.17,0.6
78,31,30,28,1.34,1.05,1.18
1002,31,30,28,2.24,1.9,1.07
1014,31,30,28,2.02,1.59,0.89
1043,31,30,28,1.68,1.15,0.85
1058,31,30,28,1.91,1.47,0.86
