particleID,gravelometer_size,Date1,Date2,DistanceD,intersect,intersect_area,MaxD,MinD,Radius1,Radius2,event,valid_euc,valid_min,valid_max,moved_euc,moved_min,moved_max,counted_moved_euc,counted_moved_min,counted_moved_max
2,90.0,07_31_2023,09_20_2023,0.101675162,True,0.036574202,0.392289827,0.0,0.128654831,0.161959833,M8,False,False,True,False,False,True,False,False,False
3,128.0,03_28_2022,07_06_2022,0.098652585,False,0.0,0.177457028,0.019848142,0.029995358,0.048809085,M1,True,False,True,False,False,False,False,False,False
3,128.0,07_06_2022,08_06_2022,1.997096746,False,0.0,2.4824729,1.511720592,0.048809085,0.436567069,M2,True,True,True,True,True,True,False,False,False
3,128.0,08_06_2022,08_09_2022,1.931704803,False,0.0,2.443373404,1.420036201,0.436567069,0.075101533,M3,True,True,True,True,True,True,True,True,True
3,128.0,08_09_2022,08_24_22,0.016237091,False,0.0,0.310433374,0.0,0.075101533,0.21909475,M4,False,False,True,False,False,False,False,False,False
3,128.0,08_24_22,03_24_2023,2.551018929,False,0.0,2.94824621,2.153791648,0.21909475,0.178132531,M5,True,True,True,True,True,True,True,True,True
3,128.0,03_24_2023,06_17_2023,2.537552187,False,0.0,2.72528386,2.349820515,0.178132531,0.009599142,M6,True,True,True,True,True,True,True,True,True
3,128.0,06_17_2023,07_31_2023,0.062867167,False,0.0,0.349132741,0.0,0.009599142,0.276666431,M7,False,False,True,False,False,False,False,False,False
3,128.0,07_31_2023,09_20_2023,0.187412191,True,0.027154304,0.55735276,0.0,0.276666431,0.093274138,M8,False,False,True,False,False,True,False,False,True
4,90.0,03_28_2022,07_06_2022,0.059541597,False,0.0,0.303916516,0.0,0.195457405,0.048917515,M1,False,False,True,False,False,False,False,False,False
4,90.0,07_06_2022,08_06_2022,,,0.0,,,0.048917515,,M2,False,False,False,False,False,False,False,False,False
4,90.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
4,90.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
4,90.0,08_24_22,03_24_2023,,,0.0,,,,,M5,False,False,False,False,False,False,False,False,False
4,90.0,03_24_2023,06_17_2023,,,0.0,,,,0.08453835,M6,False,False,False,False,False,False,False,False,False
4,90.0,06_17_2023,07_31_2023,0.005570253,False,0.0,0.141904186,0.0,0.08453835,0.051795584,M7,False,False,True,False,False,False,False,False,False
4,90.0,07_31_2023,09_20_2023,,,0.0,,,0.051795584,,M8,False,False,False,False,False,False,False,False,False
5,90.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
5,90.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
5,90.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
5,90.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
5,90.0,08_24_22,03_24_2023,,,0.0,,,,0.199439119,M5,False,False,False,False,False,False,False,False,False
5,90.0,03_24_2023,06_17_2023,,,0.0,,,0.199439119,,M6,False,False,False,False,False,False,False,False,False
5,90.0,06_17_2023,07_31_2023,,,0.0,,,,,M7,False,False,False,False,False,False,False,False,False
5,90.0,07_31_2023,09_20_2023,,,0.0,,,,0.108293306,M8,False,False,False,False,False,False,False,False,False
6,128.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
6,128.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
6,128.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
6,128.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
6,128.0,08_24_22,03_24_2023,,,0.0,,,,0.108974297,M5,False,False,False,False,False,False,False,False,False
