particleID,gravelometer_size,ID,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2,Date1,Date2,DistanceD,intersect?,intersection_area,MaxD,MinD,Radius1,Radius2
1,128,1,03_28_2022,07_06_2022,0.223329443,FALSE,0,0.379837099,0.066821786,0.127602329,0.028905328,07_06_2022,08_06_2022,0.086301085,FALSE,0,0.16426477,0.0083374,0.028905328,0.049058357,08_06_2022,08_09_2022,0.027934579,FALSE,0,0.177991874,0,0.049058357,0.100998938,08_09_2022,08_24_22,0.053108613,FALSE,0,0.361646688,0,0.100998938,0.207539137,08_24_22,03_24_2023,0.128442682,FALSE,0,0.384112983,0,0.207539137,0.048131164,03_24_2023,06_17_2023,0.346954181,TRUE,0.0065343,0.775442795,0,0.048131164,0.38035745,06_17_2023,07_31_2023,0.184628625,FALSE,0,0.610487214,0,0.38035745,0.045501139,07_31_2023,09_20_2023,3.021751375,FALSE,0,5.853389052,0.190113697,0.045501139,2.786136538
7,128,7,03_28_2022,07_06_2022,0.190868719,TRUE,0.013546394,0.478110484,0,0.180498633,0.106743133,07_06_2022,08_06_2022,0.095223671,FALSE,0,0.404243669,0,0.106743133,0.202276865,08_06_2022,08_09_2022,0.16044861,TRUE,0.036609199,0.500346645,0,0.202276865,0.13762117,08_09_2022,08_24_22,0.08111763,FALSE,0,0.234499434,0,0.13762117,0.015760634,08_24_22,03_24_2023,0.076491561,FALSE,0,0.447427838,0,0.015760634,0.355175643,03_24_2023,06_17_2023,0.337611098,TRUE,0.023390547,0.807863744,0,0.355175643,0.115077003,06_17_2023,07_31_2023,0.086333624,TRUE,0.021168762,0.312666345,0,0.115077003,0.111255717,07_31_2023,09_20_2023,0.121837267,TRUE,0.038380539,0.459140799,0,0.111255717,0.226047815
168,128,168,03_28_2022,07_06_2022,,,0,,,,,07_06_2022,08_06_2022,,,0,,,,,08_06_2022,08_09_2022,,,0,,,,,08_09_2022,08_24_22,,,0,,,,,08_24_22,03_24_2023,,,0,,,,,03_24_2023,06_17_2023,,,0,,,,0.107260879,06_17_2023,07_31_2023,0.123429225,TRUE,0.00505445,0.303971718,0,0.107260879,0.073281613,07_31_2023,09_20_2023,0.140479197,TRUE,0.000508717,0.293461994,0,0.073281613,0.079701184
167,128,167,03_28_2022,07_06_2022,,,0,,,,,07_06_2022,08_06_2022,,,0,,,,,08_06_2022,08_09_2022,,,0,,,,,08_09_2022,08_24_22,,,0,,,,,08_24_22,03_24_2023,,,0,,,,,03_24_2023,06_17_2023,,,0,,,,0.091405389,06_17_2023,07_31_2023,0.100586663,TRUE,0.009297244,0.285937576,0,0.091405389,0.093945523,07_31_2023,09_20_2023,2.933294418,FALSE,0,4.653315695,1.213273142,0.093945523,1.626075753
8,128,8,03_28_2022,07_06_2022,0.116170037,FALSE,0,0.396216425,0,0.075599251,0.204447137,07_06_2022,08_06_2022,0.130579911,FALSE,0,0.362405553,0,0.204447137,0.027378505,08_06_2022,08_09_2022,0.058412399,FALSE,0,0.199939513,0,0.027378505,0.11414861,08_09_2022,08_24_22,0.04220403,TRUE,0.030232328,0.266995375,0,0.11414861,0.110642735,08_24_22,03_24_2023,,,0,,,0.110642735,,03_24_2023,06_17_2023,,,0,,,,,06_17_2023,07_31_2023,,,0,,,,0.180120853,07_31_2023,09_20_2023,0.106155551,TRUE,0.019346165,0.365241668,0,0.180120853,0.078965264
169,128,169,03_28_2022,07_06_2022,,,0,,,,,07_06_2022,08_06_2022,,,0,,,,,08_06_2022,08_09_2022,,,0,,,,,08_09_2022,08_24_22,,,0,,,,,08_24_22,03_24_2023,,,0,,,,,03_24_2023,06_17_2023,,,0,,,,0.208897456,06_17_2023,07_31_2023,0.065714427,TRUE,0.111799508,0.487013257,0,0.208897456,0.212401374,07_31_2023,09_20_2023,0.089145839,TRUE,0.05933345,0.441737445,0,0.212401374,0.140190232
6,128,6,03_28_2022,07_06_2022,,,0,,,,,07_06_2022,08_06_2022,,,0,,,,,08_06_2022,08_09_2022,,,0,,,,,08_09_2022,08_24_22,,,0,,,,,08_24_22,03_24_2023,,,0,,,,0.108974297,03_24_2023,06_17_2023,0.452071932,TRUE,0.007913831,0.965567363,0,0.108974297,0.404521134,06_17_2023,07_31_2023,0.361664517,FALSE,0,0.78965738,0,0.404521134,0.023471729,07_31_2023,09_20_2023,0.062974198,FALSE,0,0.096370224,0.029578172,0.023471729,0.009924297
3,128,3,03_28_2022,07_06_2022,0.098652585,FALSE,0,0.177457028,0.019848142,0.029995358,0.048809085,07_06_2022,08_06_2022,1.997096746,FALSE,0,2.4824729,1.511720592,0.048809085,0.436567069,08_06_2022,08_09_2022,1.931704803,FALSE,0,2.443373404,1.420036201,0.436567069,0.075101533,08_09_2022,08_24_22,0.016237091,FALSE,0,0.310433374,0,0.075101533,0.21909475,08_24_22,03_24_2023,2.551018929,FALSE,0,2.94824621,2.153791648,0.21909475,0.178132531,03_24_2023,06_17_2023,2.537552187,FALSE,0,2.72528386,2.349820515,0.178132531,0.009599142,06_17_2023,07_31_2023,0.062867167,FALSE,0,0.349132741,0,0.009599142,0.276666431,07_31_2023,09_20_2023,0.187412191,TRUE,0.027154304,0.55735276,0,0.276666431,0.093274138
44,90,44,03_28_2022,07_06_2022,0.188001859,TRUE,0.011807534,0.481764629,0,0.067953433,0.225809336,07_06_2022,08_06_2022,0.130999927,FALSE,0,0.449611403,0,0.225809336,0.09280214,08_06_2022,08_09_2022,0.024132605,FALSE,0,0.183205326,0,0.09280214,0.066270581,08_09_2022,08_24_22,0.038354721,FALSE,0,0.10824921,0,0.066270581,0.003623909,08_24_22,03_24_2023,0.030127117,FALSE,0,0.18178028,0,0.003623909,0.148029254,03_24_2023,06_17_2023,1.888940648,FALSE,0,2.051952035,1.725929261,0.148029254,0.014982133,06_17_2023,07_31_2023,0.034121002,FALSE,0,0.067270358,0.000971646,0.014982133,0.018167223,07_31_2023,09_20_2023,0.030599668,FALSE,0,0.059750476,0.00144886,0.018167223,0.010983585
157,90,157,03_28_2022,07_06_2022,,,0,,,,,07_06_2022,08_06_2022,,,0,,,,,08_06_2022,08_09_2022,,,0,,,,,08_09_2022,08_24_22,,,0,,,,,08_24_22,03_24_2023,,,0,,,,,03_24_2023,06_17_2023,,,0,,,,0.038147371,06_17_2023,07_31_2023,0.032540587,FALSE,0,0.070798636,0,0.038147371,0.000110678,07_31_2023,09_20_2023,0.038814962,FALSE,0,0.08654465,0,0.000110678,0.04761901
