ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,10,12,128,261,121
113,13,10,12,,,
42,13,10,12,,,
4,13,10,12,108,209,77
105,13,10,12,138,209,77
25,13,10,12,162,233,129
30,13,10,12,179,180,113
99,10,13,12,227,67,74
33,13,10,12,167,121,137
117,13,10,12,152,284,153
26,13,10,12,140,149,158
54,13,10,12,,,
55,13,10,12,206,67,143
71,13,10,12,,,
51,13,10,12,,,
80,13,10,12,,,
63,13,10,12,175,103,130
87,13,10,12,144,130,66
1050,13,10,12,,,
1026,13,10,12,160,165,153
1055,13,10,12,188,169,173
1037,13,10,12,,,
7,13,10,12,236,103,194
44,13,10,12,211,111,168
13,13,10,12,209,60,155
16,13,10,12,228,98,180
112,13,10,12,264,153,227
32,13,10,12,266,177,233
59,13,10,12,228,60,169
57,13,10,12,247,175,217
104,13,10,12,184,85,134
127,13,10,12,218,92,172
134,13,10,12,225,135,186
79,13,10,12,261,152,220
1017,13,10,12,242,125,205
1036,13,10,12,245,166,220
1044,13,10,12,227,123,185
1065,13,10,12,237,130,199
22,17,16,15,145,230,437
114,17,16,15,157,58,306
90,17,16,15,100,107,301
19,17,16,15,99,170,362
106,17,16,15,111,132,340
49,17,16,15,104,115,317
128,17,16,15,149,37,284
47,17,16,15,59,153,329
39,17,16,15,103,137,348
120,17,16,15,126,89,248
60,17,16,15,126,89,248
130,17,16,15,90,133,339
123,17,16,15,150,216,437
124,17,16,15,161,62,314
81,17,16,15,88,130,342
1006,17,16,15,,,
1011,17,16,15,,,
1048,17,16,15,73,142,326
1062,17,16,15,166,33,276
8,22,21,20,188,149,54
2,22,21,20,125,148,100
43,22,21,20,140,183,80
15,22,21,20,196,119,85
94,22,21,20,210,134,73
95,22,21,20,234,162,67
109,22,21,20,144,164,75
66,22,21,20,295,170,148
73,22,21,20,,,
129,22,21,20,234,132,103
70,22,21,20,148,137,82
58,22,21,20,162,109,101
136,22,21,20,228,156,74
1039,22,21,20,235,131,110
1005,22,21,20,,,
1031,22,21,20,174,138,64
1010,22,21,20,,,
1,31,30,28,158,109,102
41,31,30,28,189,153,106
17,31,30,28,150,123,120
29,31,30,28,201,142,74
14,31,30,28,-,-,-
119,31,30,28,213,150,61
45,31,30,28,188,161,116
20,31,30,28,220,161,64
34,31,30,28,190,115,60
64,31,30,28,209,154,65
56,31,30,28,193,116,61
78,31,30,28,,,
1002,31,30,28,,,
1014,31,30,28,,,
1043,31,30,28,,,
1058,31,30,28,197,145,85
