ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,11,10,1.2,1.79,2.41
4,13,11,10,0.66,1.15,2.09
105,13,11,10,1.24,0.82,1.75
25,13,11,10,1.12,0.93,1.52
30,13,11,10,1.55,1.17,1.35
67,13,11,10,1.34,1.33,1.77
7,13,11,10,2.41,1.47,1.38
113,13,11,10,,,
42,8,4,6,1.21,2.65,0.82
44,8,6,7,0.55,1,0.7
5,13,11,10,,,
24,13,11,10,2.92,1.88,1.36
99,13,11,10,,,
13,13,11,10,2.56,1.61,1.49
16,4,5,6,1.83,3.55,4.2
112,4,5,6,1.67,3.26,3.52
54,13,11,10,,,
38,13,11,10,,,
33,13,11,10,,,
117,13,11,10,,,
26,13,11,10,,,
55,13,11,10,2.62,1.75,1.84
32,13,11,10,,,
59,13,11,10,,,
57,8,7,6,0.55,0.02,0.85
104,13,11,10,,,
87,13,11,10,2.75,1.72,1.54
72,13,11,10,,,
82,13,11,10,,,
71,13,11,10,,,
51,13,11,10,,,
80,8,7,6,1.4,1.23,0.75
63,13,11,10,,,
1050,13,11,10,,,
1026,13,11,10,,,
1055,13,11,10,,,
1037,13,11,10,,,
127,8,4,6,2.3,1.43,1.93
134,4,6,5,1.75,3.7,3.55
79,13,11,10,,,
1017,13,11,10,,,
1036,13,11,10,,,
1044,13,11,10,,,
1065,13,11,10,,,
6,8,4,6,1.7,2.35,1.04
92,8,4,6,2.29,1.9,1.56
96,8,4,6,2.08,1.94,1.42
12,8,4,6,2.23,1.52,1.83
125,8,4,6,1.48,2.53,0.83
68,8,4,6,,,
86,8,4,6,,,
126,8,4,6,,,
77,8,4,6,1.3,2.05,0.38
76,8,4,6,2.2,1.91,1.55
69,8,4,6,2.49,1.41,1.99
74,8,4,6,,,
1028,8,4,6,,,
36,8,4,6,1.95,1.73,1.66
107,8,4,6,2.54,1.61,1.9
132,8,4,6,2.14,2.24,1.27
62,8,4,6,,,
85,8,4,6,3.1,1.5,2.41
1049,8,4,6,,,
1052,8,4,6,,,
165,13,11,10,1.26,0.31,1.26
166,13,11,10,1.52,0.72,1.43
138,13,11,10,,,
10,13,11,10,1.59,0.9,0.99
150,13,11,10,1.25,0.57,1.16
156,13,11,10,2.21,1.14,0.78
157,13,11,10,1,0.54,1.63
22,17,16,15,,,
114,17,16,15,,,
90,17,16,15,1.11,0.95,2.93
19,17,16,15,2.35,1.74,1.56
106,17,16,15,,,
49,17,16,15,,,
128,17,16,15,,,
47,17,16,15,,,
39,17,16,15,,,
120,17,16,15,1.64,0.58,2.73
60,17,16,15,2.57,2.14,1.24
130,17,16,15,,,
123,17,16,15,0.65,1.35,3.06
124,17,16,15,,,
81,17,16,15,1.11,0.99,1.69
1006,17,16,15,,,
1011,17,16,15,,,
1048,17,16,15,,,
1062,17,16,15,,,
11,17,16,15,2.6,1.88,1.61
97,17,16,15,2.47,1.69,1.65
37,17,16,15,2.48,1.75,1.61
108,17,16,15,2.44,1.96,1.4
35,17,16,15,1.8,1.32,1.9
91,17,16,15,2.87,2.05,1.65
121,17,16,15,2.38,1.33,2
46,17,16,15,2.64,1.62,1.8
1051,17,16,15,,,
1042,17,16,15,,,
131,17,16,15,,,
75,17,16,15,2.76,1.85,1.69
1047,17,16,15,,,
40,17,16,15,,,
118,17,16,15,3.21,1.3,1.57
23,17,16,15,1.32,1.94,4.26
110,17,16,15,1.68,0.69,2.61
48,17,16,15,,,
61,17,16,15,1.71,1.68,1.78
52,17,16,15,2.11,1.53,1.71
1061,17,16,15,,,
1040,17,16,15,,,
1053,17,16,15,1.67,0.91,2.44
139,17,16,15,0.84,1.25,3.2
142,17,16,15,1.39,0.75,2.79
146,17,16,15,1.32,1.04,3.59
149,17,16,15,1.05,0.99,3.04
158,17,16,15,1.16,0.94,2.9
164,17,16,15,1.31,1.15,3.69
154,17,16,15,0.92,1.31,3.5
169,17,16,15,1.21,1.43,3.87
8,21,20,18,1.78,1.82,1.59
2,21,20,18,2.04,1.99,1.51
43,21,20,18,,,
15,21,20,18,2.72,2.26,1.75
94,21,20,18,2.6,2.11,1.77
95,21,20,18,2.17,1.59,2.03
109,21,20,18,,,
66,21,20,18,,,
73,21,20,18,,,
129,21,20,18,,,
70,21,20,18,,,
58,21,20,18,,,
136,21,20,18,,,
1039,21,20,18,,,
1005,21,20,18,,,
1031,21,20,18,2.65,2.15,1.75
1010,21,20,18,,,
140,21,20,18,,,
143,21,20,18,,,
145,21,20,18,1.36,0.96,2.46
147,21,20,18,,,
160,21,20,18,1.31,1.14,2.29
162,21,20,18,1.07,0.85,2.95
18,21,20,18,1.47,1,3.63
170,21,20,18,1.5,0.91,2.49
155,21,20,18,1.61,0.9,2.5
152,21,20,18,0.99,1.16,3.22
168,21,20,18,1.56,1.49,3.94
1,27,29,28,2.25,1.96,0.81
41,27,29,28,,,
17,27,29,28,2.35,1.88,1.11
29,27,29,28,,,
14,27,29,28,,,
119,27,29,28,2.03,1.97,0.57
45,27,29,28,,,
20,27,29,28,1.95,1.9,0.62
34,27,29,28,,,
64,27,29,28,,,
56,27,29,28,,,
78,27,29,28,,,
1002,27,29,28,,,
1014,27,29,28,,,
1043,27,29,28,,,
1058,27,29,28,,,
9,27,29,28,2.56,2.33,0.66
111,27,29,28,1.73,1.87,0.69
89,27,29,28,2.91,2.6,0.84
63,27,29,28,,,
102,27,29,28,1.99,1.78,0.78
116,27,29,28,2.1,2.01,0.57
122,27,29,28,1.96,2.14,0.46
135,27,29,28,1.76,1.84,0.66
137,27,29,28,2.56,2.41,0.53
141,27,29,28,1.81,2.13,0.64
144,27,29,28,1.74,1.74,0.79
148,27,29,28,1.91,1.52,1.12
159,27,29,28,2.16,2.24,0.28
161,27,29,28,1.6,2.08,0.94
163,27,29,28,2.43,2.2,0.66
101,27,29,28,1.87,1.66,0.92
151,27,29,28,2.29,2.27,0.23
153,27,29,28,1.53,1.52,1.04
167,27,29,28,1.15,1.36,1.34
98,27,29,28,1.49,1.41,1.11
100,27,29,28,2.53,2.14,0.97
133,27,29,28,2.34,2.05,0.79
65,27,29,28,1.62,1.39,1.12
1045,27,29,28,2.77,2.54,0.7
1057,27,29,28,1.85,1.72,0.8
1063,27,29,28,,,
1041,27,29,28,2.03,1.98,0.57
