ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,12,10,1.27,1.78,2.56
30,13,12,10,1.81,1.61,1.7
25,13,12,10,1.15,1.36,1.99
54,13,12,10,1.33,1.64,2.23
87,13,12,10,1.39,0.98,1.21
5,13,12,10,0.65,1.17,2.1
88,13,12,10,1,1.42,2.17
24,13,12,10,1.32,0.86,1.24
38,13,12,10,1.31,0.96,1.37
72,13,12,10,0.55,1.03,2
67,13,12,10,1.34,1.35,1.77
82,13,12,10,1.63,1.98,2.48
7,10,7,6,1.78,1.18,1.33
113,10,7,6,-,-,-
42,10,7,6,-,-,-
4,10,7,6,-,-,-
44,10,7,6,1.71,1.16,1.44
105,10,7,6,1.88,1.67,2.29
99,10,7,6,1.9,1.29,1.37
13,10,7,6,2.24,1.67,1.8
16,10,7,6,2.7,2.32,2.79
112,10,7,6,1.38,0.77,0.88
33,10,7,6,2.2,1.64,1.85
117,10,7,6,2.13,1.7,2.1
26,10,7,6,1.89,1.56,2.08
55,10,7,6,2.26,1.7,1.87
32,10,7,6,1.09,0.81,0.47
59,10,7,6,-,-,-
57,10,7,6,0.98,0.53,1.15
104,10,7,6,1.86,1.31,1.52
71,10,7,6,-,-,-
51,10,7,6,2.39,2.11,2.72
80,10,7,6,2.07,1.63,2.03
63,10,7,6,1.59,1.04,1.31
50,10,7,6,-,-,-
26,10,7,6,1.67,1.36,1.96
55,10,7,6,0.81,0.46,1.26
37,10,7,6,-,-,-
127,10,7,6,-,-,-
134,10,7,6,1.34,0.82,1.22
79,10,7,6,0.94,0.83,0.75
17,10,7,6,-,-,-
36,10,7,6,-,0.47,1.03
44,10,7,6,0.95,0.45,0.47
65,10,7,6,1.51,0.93,1.2
6,10,7,6,1.25,1.14,0.6
92,10,7,6,0.53,0.43,0.83
96,10,7,6,0.89,0.4,0.47
12,10,7,6,0.92,0.8,0.68
125,10,7,6,0.54,0.28,0.8
68,10,7,6,0.92,0.91,0.92
86,10,7,6,0.53,0.19,0.85
126,10,7,6,0.61,0.4,0.74
77,10,7,6,1.11,0.77,0.38
76,10,7,6,0.89,0.68,0.32
69,10,7,6,0.95,0.9,0.55
74,10,7,6,1.1,0.88,0.32
28,10,7,6,1.23,1.18,0.76
22,15,16,17,-,-,-
114,15,16,17,2.28,0.94,1.4
90,15,16,17,3.05,1.15,0.95
19,15,16,17,3.16,1.12,1.06
106,15,16,17,3.42,1.3,1.1
49,15,16,17,3,0.85,1.26
128,15,16,17,2.75,0.35,1.64
47,15,16,17,3.04,1.47,0.63
39,15,16,17,3.47,1.35,1.03
120,15,16,17,-,-,-
60,15,16,17,-,-,-
130,15,16,17,-,-,-
123,15,16,17,-,-,-
124,15,16,17,3.11,0.65,1.55
81,15,16,17,-,1.24,1.15
6,15,16,17,-,-,-
11,15,16,17,-,-,-
48,15,16,17,3.06,1.39,0.76
62,15,16,17,-,-,-
11,15,16,17,1.6,1.25,2.55
35,15,16,17,1.92,0.92,1.8
91,15,16,17,-,-,-
121,15,16,17,2,0.87,2.26
46,15,16,17,1.81,1.11,2.46
51,15,16,17,-,-,-
42,15,16,17,1.45,1.33,2.38
131,15,16,17,1.32,1.45,2.19
75,15,16,17,1.82,1.05,2.49
47,15,16,17,-,-,-
40,15,16,17,1.82,0.92,2
118,15,16,17,1.83,0.93,2.03
1,31,30,28,1.58,1.12,0.97
41,31,30,28,1.93,1.55,0.97
17,31,30,28,1.48,1.2,1.16
29,31,30,28,1.95,1.45,0.75
14,31,30,28,-,-,-
119,31,30,28,2.19,1.56,0.58
45,31,30,28,1.85,1.62,1.11
20,31,30,28,2.17,1.56,0.64
34,31,30,28,1.93,1.13,0.56
64,31,30,28,2.06,1.47,0.64
56,31,30,28,1.9,1.18,0.63
78,31,30,28,1.45,1.01,1.1
2,31,30,28,2.33,1.95,1.09
14,31,30,28,-,-,-
43,31,30,28,-,-,-
58,31,30,28,-,-,-
5,31,30,28,1.75,0.95,0.65
111,31,30,28,2.48,2.2,0.72
97,31,30,28,1.92,0.87,1.98
37,31,30,28,1.58,1.23,2.38
108,31,30,28,1.78,1.06,1.74
89,31,30,28,1.56,0.6,0.91
63,31,30,28,1.61,0.81,0.8
102,31,30,28,1.92,1.48,0.76
116,31,30,28,2.03,1.45,0.7
122,31,30,28,1.5,0.77,0.93
135,31,30,28,2.41,1.79,0.73
