ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,12,10,1.22,1.15,2.54
25,10,12,13,1.3,1.95,2.05
30,13,12,10,1.8,1.15,1.75
99,13,12,10,0.55,0.63,2.03
54,13,12,10,1.35,1.05,2.2
87,13,12,10,1.45,0.65,1.29
113,10,7,6,-,-,-
42,10,7,6,-,-,-
4,10,7,6,-,-,-
105,10,7,6,-,-,-
33,10,7,6,1.15,1.48,1.84
117,10,7,6,-,-,-
26,10,7,6,1.55,1.56,2.15
55,10,7,6,0.62,1.71,1.75
71,10,7,6,-,-,-
51,10,7,6,-,-,-
80,10,7,6,1.14,1.73,2.1
63,10,7,6,1.09,1.28,1.53
1050,10,7,6,-,-,-
1026,10,7,6,1.69,1.34,1.94
1055,10,7,6,1.7,0.57,1.33
1037,10,7,6,-,-,-
1036,10,7,6,1.68,0.96,1.08
7,10,7,6,1.09,1.17,1.23
44,10,7,6,1.15,1.19,1.41
13,10,7,6,0.62,1.72,1.75
16,10,7,6,1.02,1.27,1.37
112,10,7,6,1.53,0.75,0.89
32,10,7,6,2.2,0.37,0.48
59,10,7,6,0.61,1.66,1.68
57,10,7,6,1.78,0.52,1.09
104,10,7,6,0.78,1.62,1.83
127,10,7,6,0.98,1.3,1.48
134,10,7,6,1.4,0.86,1.22
79,10,7,6,2.15,0.43,0.44
1017,10,7,6,1.39,0.85,1.04
1044,10,7,6,1.28,1.03,1.29
1065,10,7,6,1.35,0.91,1.15
22,17,16,15,-,-,-
114,17,16,15,1.47,0.58,2.75
90,17,16,15,0.99,1.12,3.042
19,17,16,15,0.96,1.62,3.6
106,17,16,15,1.15,1.3,3.38
49,17,16,15,1.11,1.05,3.11
128,17,16,15,1.65,0.4,2.82
47,17,16,15,-,-,-
39,17,16,15,1.11,1.33,3.42
120,17,16,15,1.21,0.81,2.65
60,17,16,15,1.21,0.81,2.65
130,17,16,15,0.94,1.29,3.31
123,17,16,15,-,-,-
124,17,16,15,-,-,-
81,17,16,15,1.19,1.18,3.35
1006,17,16,15,1.11,1.22,3.36
1011,17,16,15,-,-,-
1048,17,16,15,0.79,1.35,3.2
1062,17,16,15,1.68,0.35,2.74
8,22,21,20,1.88,1.57,0.41
2,22,21,20,1.44,1.51,0.69
43,22,21,20,1.36,1.71,0.84
15,22,21,20,1.95,1.29,0.68
94,22,21,20,2.12,1.38,0.67
95,22,21,20,2.29,1.58,0.61
109,22,21,20,1.44,1.62,0.67
66,22,21,20,,,
73,22,21,20,1.5,1.4,0.73
129,22,21,20,2.44,1.45,0.93
70,22,21,20,1.47,1.63,0.62
58,22,21,20,1.8,1.2,0.83
136,22,21,20,2.29,1.52,0.62
1039,22,21,20,,,
1005,22,21,20,,,
1031,22,21,20,,,
1010,22,21,20,,,
1,31,28,27,1.61,0.98,2.44
41,31,28,27,1.89,1.02,1.98
17,31,28,27,1.55,1.14,2.26
29,31,28,27,1.94,0.8,2.13
14,31,28,27,-,-,-
119,31,28,27,2.13,0.65,2.05
45,31,28,27,1.97,1.15,1.93
20,31,28,27,2.15,0.71,1.98
34,31,28,27,1.9,0.59,2.45
64,31,28,27,2.08,0.72,2.05
56,31,28,27,1.89,0.66,2.38
78,31,28,27,1.39,1.13,2.57
1002,31,28,27,-,-,-
1014,31,28,27,-,-,-
1043,31,28,27,-,-,-
1058,31,28,27,1.93,0.86,2.06
