ParticleID,X,Y,ErrorMetric,RadiusOfUncertainty
3.0,475424.341647341,539949.3190875761,79.62302754903192,312.1141273440964
113.0,475367.3929866721,539913.9928368883,79.6330960095467,202.93203057426555
42.0,475203.2395612835,539973.7645064624,77.58142523318234,175.69200762235778
4.0,475348.1242973868,539994.3490440863,72.23579017641433,134.64168846743544
105.0,475373.73930489464,539859.0708151382,108.9113107031156,172.28761692483667
25.0,475418.7595719703,539905.9484242866,124.32571701502222,362.7635512231737
30.0,475189.940843041,540024.8747618094,71.51243444143498,202.56947504356458
99.0,475380.154831743,539931.1792369918,74.95550442648806,210.57114372045604
33.0,,,,
117.0,475374.45787191275,539924.5020956649,77.62247942416742,205.6874995458053
26.0,475182.35427470907,539892.3576285628,78.30566012498534,318.9414667050645
54.0,,,,
55.0,475155.71083132393,539895.1514362197,114.98080501978504,400.58913720021997
71.0,475457.82609423413,539957.4880767328,80.9553985049782,399.324555237803
51.0,475353.39208770014,539901.1986128921,28.88803044024708,172.85061343329923
80.0,475217.2436642988,539895.245794885,72.30396701624876,218.94161738008415
63.0,475171.2927264467,539897.0671471336,107.64928875471757,356.4287032699876
87.0,475206.08697663574,539955.9980869631,81.58586048450057,187.67451326926104
50.0,,,,
26.0,,,,
55.0,475143.9123149929,539880.3766463515,87.63022312058433,416.69238450955953
37.0,,,,
7.0,475183.8609984126,539849.6579389212,26.845693690471933,76.86089972545807
44.0,475408.9243283226,539891.5718404978,7.207761839375635,68.07716553959587
13.0,475313.8636962897,540014.8507998842,93.87192833926787,126.34648169376216
16.0,475280.2063342599,540019.6991802357,24.85838217221354,113.56265558625225
112.0,475246.4154976671,539779.2864013421,101.8657172543887,140.87986573579857
32.0,475256.771714507,539773.0849156311,159.1891118844586,149.94692899256322
59.0,475293.5624727195,540020.4167222,74.62947798830942,123.00117699380073
57.0,475273.0881287615,539782.4121180268,65.87301075077433,137.2265490945514
104.0,475338.3726306983,540004.8264888872,74.55443182059719,112.39346832007378
127.0,475307.2810143788,540016.8788463573,25.892184507513974,126.41334110389448
134.0,475272.4911476741,539784.2042923786,48.53740133716899,135.4764442270867
79.0,475251.3853245326,539778.5763487061,109.85880010384972,142.90471295431917
17.0,475230.91019585094,539797.3924756584,30.61408366805489,110.86651674082457
36.0,475251.33001394005,539789.1940473305,37.8634394073957,129.97832806119357
44.0,475292.4366015325,539784.7555202531,21.957989736887015,124.81583315237931
65.0,475257.3383404771,539785.7687012207,58.52262749917875,135.19873973790524
