,Size in mm,11,16,22.6,32,45,64,90,128,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of rocks,3,35,28,46,43,32,13,5,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M 1,"Rocks moved, min",0,1,0,4,6,4,2,0,17,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rocks moved,0,2,6,13,14,10,5,2,52,,,,,,,,,,16,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,"Rocks moved, max",0,2,6,14,17,14,6,4,63,,,,,,,,,,22.6,0,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0
,"% moved, max",0.00,0.06,0.00,0.24,0.35,0.24,0.12,0.00,0.08,,,,,,,,,,32,0,0,0,0,13,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,6,0,0
,% moved,0.00,0.04,0.12,0.25,0.27,0.19,0.10,0.04,0.25,,,,,,,,,,45,0,0,0,0,15,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,3,0,0,0,1,1,0,0,0,0,0,0,0,0,11,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,4,0,0
,"% moved, min",0.00,0.03,0.10,0.22,0.27,0.22,0.10,0.06,0.31,,,,,,,,,,64,0,0,0,0,10,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,3,0,0
M 2,"Rocks moved, min",0,1,4,3,2,4,0,1,15,,,,,,,,,,90,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0
,Rocks moved,0,3,6,13,15,10,4,2,53,,,,,,,,,,128,0,0,0,0,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,0
