ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,11,12,13,178,115,120
113,11,12,13,114,63,44
42,11,12,13,117,76,152
4,11,12,13,135,69,112
105,11,12,13,97,140,36
25,11,12,13,187,124,62
30,11,12,13,168,124,188
99,11,12,13,128,70,72
33,11,12,13,-,-,-
117,11,12,13,122,65,61
26,11,12,13,73,120,145
54,11,12,13,-,-,-
55,11,12,13,81,145,191
71,11,12,13,213,150,153
51,11,12,13,72,61,44
80,11,12,13,41,85,107
63,11,12,13,69,128,173
87,11,12,13,99,65,144
50,11,12,13,-,-,-
26,11,12,13,-,-,-
55,11,12,13,108,165,184
37,11,12,13,-,-,-
7,11,10,7,136,114,115
44,11,10,7,112,120,117
13,11,10,7,97,82,162
16,11,10,7,119,104,129
112,11,10,7,166,151,80
32,11,10,7,175,176,54
59,11,10,7,116,80,156
57,11,10,7,133,146,88
104,11,10,7,83,101,150
127,11,10,7,111,104,129
134,11,10,7,129,138,95
79,11,10,7,164,155,75
17,11,10,7,138,124,106
36,11,10,7,134,129,101
44,11,10,7,119,130,106
65,11,10,7,139,137,92
22,17,16,15,149,240,148
114,17,16,15,154,67,314
90,17,16,15,99,112,303
19,17,16,15,91,173,58
106,17,16,15,115,130,343
49,17,16,15,107,123,317
128,17,16,15,140,88,325
47,17,16,15,-,-,-
39,17,16,15,104,136,343
120,17,16,15,116,83,250
60,17,16,15,-,-,-
130,17,16,15,91,129,323
123,17,16,15,143,214,440
124,17,16,15,-,-,-
81,17,16,15,115,128,344
6,17,16,15,-,-,-
11,17,16,15,-,-,-
48,17,16,15,81,138,325
62,17,16,15,168,34,281
8,22,20,21,184,35,153
2,22,20,21,115,108,136
43,22,20,21,134,76,169
15,22,20,21,177,61,132
94,22,20,21,192,69,127
95,22,20,21,226,59,158
109,22,20,21,140,65,156
66,22,20,21,122,98,123
73,22,20,21,128,95,120
129,22,20,21,182,75,118
70,22,20,21,126,89,143
58,22,20,21,167,85,107
136,22,20,21,223,61,155
1,31,30,28,150,95,96
41,31,30,28,189,154,100
17,31,30,28,149,114,114
29,31,30,28,198,143,75
14,31,30,28,-,-,-
119,31,30,28,211,151,58
45,31,30,28,131,105,127
20,31,30,28,213,105,81
34,31,30,28,187,114,61
64,31,30,28,210,156,73
56,31,30,28,190,117,60
78,31,30,28,134,105,118
2,31,30,28,224,190,107
14,31,30,28,202,159,89
43,31,30,28,168,115,85
58,31,30,28,191,147,86
